samples	fq_dir	bam_dir	assembly	assembly_dir	group	batch
old_healthy_male_asian_1	/home/yh/GEMINI/data/old_healthy_male_asian_1_onlyPE_nonhuman64virus.fq	/home/yh/GEMINI/bam_sam/old_healthy_male_asian_1_contigs_sorted.human63.bam	human62_batch_effect2	/home/yh/GEMINI/assembly/human63.contigs.nonrd.rn.fa	"asian,healthy,male"	1
old_healthy_male_asian_2	/home/yh/GEMINI/data/old_healthy_male_asian_2_onlyPE_nonhuman64virus.fq	/home/yh/GEMINI/bam_sam/old_healthy_male_asian_2_contigs_sorted.human63.bam	human62_batch_effect2	/home/yh/GEMINI/assembly/human63.contigs.nonrd.rn.fa	"asian,healthy,male"	1
old_healthy_male_asian_3	/home/yh/GEMINI/data/old_healthy_male_asian_3_onlyPE_nonhuman64virus.fq	/home/yh/GEMINI/bam_sam/old_healthy_male_asian_3_contigs_sorted.human63.bam	human62_batch_effect2	/home/yh/GEMINI/assembly/human63.contigs.nonrd.rn.fa	"asian,healthy,male"	1
old_healthy_male_asian_4	/home/yh/GEMINI/data/old_healthy_male_asian_4_onlyPE_nonhuman64virus.fq	/home/yh/GEMINI/bam_sam/old_healthy_male_asian_4_contigs_sorted.human63.bam	human62_batch_effect2	/home/yh/GEMINI/assembly/human63.contigs.nonrd.rn.fa	"asian,healthy,male"	1
old_healthy_female_asian_1	/home/yh/GEMINI/data/old_healthy_female_asian_1_onlyPE_nonhuman64virus.fq	/home/yh/GEMINI/bam_sam/old_healthy_female_asian_1_contigs_sorted.human63.bam	human62_batch_effect2	/home/yh/GEMINI/assembly/human63.contigs.nonrd.rn.fa	"asian,healthy,female"	1
old_healthy_female_asian_2	/home/yh/GEMINI/data/old_healthy_female_asian_2_onlyPE_nonhuman64virus.fq	/home/yh/GEMINI/bam_sam/old_healthy_female_asian_2_contigs_sorted.human63.bam	human62_batch_effect2	/home/yh/GEMINI/assembly/human63.contigs.nonrd.rn.fa	"asian,healthy,female"	1
old_healthy_female_asian_3	/home/yh/GEMINI/data/old_healthy_female_asian_3_onlyPE_nonhuman64virus.fq	/home/yh/GEMINI/bam_sam/old_healthy_female_asian_3_contigs_sorted.human63.bam	human62_batch_effect2	/home/yh/GEMINI/assembly/human63.contigs.nonrd.rn.fa	"asian,healthy,female"	1
old_healthy_female_asian_4	/home/yh/GEMINI/data/old_healthy_female_asian_4_onlyPE_nonhuman64virus.fq	/home/yh/GEMINI/bam_sam/old_healthy_female_asian_4_contigs_sorted.human63.bam	human62_batch_effect2	/home/yh/GEMINI/assembly/human63.contigs.nonrd.rn.fa	"asian,healthy,female"	2
old_healthy_female_euro_1	/home/yh/GEMINI/data/old_healthy_female_euro_1_onlyPE_nonhuman64virus.fq	/home/yh/GEMINI/bam_sam/old_healthy_female_euro_1_contigs_sorted.human63.bam	human62_batch_effect2	/home/yh/GEMINI/assembly/human63.contigs.nonrd.rn.fa	"euro,healthy,female"	3
old_healthy_female_euro_2	/home/yh/GEMINI/data/old_healthy_female_euro_2_onlyPE_nonhuman64virus.fq	/home/yh/GEMINI/bam_sam/old_healthy_female_euro_2_contigs_sorted.human63.bam	human62_batch_effect2	/home/yh/GEMINI/assembly/human63.contigs.nonrd.rn.fa	"euro,healthy,female"	3
old_healthy_female_euro_3	/home/yh/GEMINI/data/old_healthy_female_euro_3_onlyPE_nonhuman64virus.fq	/home/yh/GEMINI/bam_sam/old_healthy_female_euro_3_contigs_sorted.human63.bam	human62_batch_effect2	/home/yh/GEMINI/assembly/human63.contigs.nonrd.rn.fa	"euro,healthy,female"	4
old_healthy_female_euro_4	/home/yh/GEMINI/data/old_healthy_female_euro_4_onlyPE_nonhuman64virus.fq	/home/yh/GEMINI/bam_sam/old_healthy_female_euro_4_contigs_sorted.human63.bam	human62_batch_effect2	/home/yh/GEMINI/assembly/human63.contigs.nonrd.rn.fa	"euro,healthy,female"	4
old_healthy_male_euro_1	/home/yh/GEMINI/data/old_healthy_male_euro_1_onlyPE_nonhuman64virus.fq	/home/yh/GEMINI/bam_sam/old_healthy_male_euro_1_contigs_sorted.human63.bam	human62_batch_effect2	/home/yh/GEMINI/assembly/human63.contigs.nonrd.rn.fa	"euro,healthy,male"	3
old_healthy_male_euro_2	/home/yh/GEMINI/data/old_healthy_male_euro_2_onlyPE_nonhuman64virus.fq	/home/yh/GEMINI/bam_sam/old_healthy_male_euro_2_contigs_sorted.human63.bam	human62_batch_effect2	/home/yh/GEMINI/assembly/human63.contigs.nonrd.rn.fa	"euro,healthy,male"	5
old_healthy_male_euro_3	/home/yh/GEMINI/data/old_healthy_male_euro_3_onlyPE_nonhuman64virus.fq	/home/yh/GEMINI/bam_sam/old_healthy_male_euro_3_contigs_sorted.human63.bam	human62_batch_effect2	/home/yh/GEMINI/assembly/human63.contigs.nonrd.rn.fa	"euro,healthy,male"	6
old_healthy_male_euro_4	/home/yh/GEMINI/data/old_healthy_male_euro_4_onlyPE_nonhuman64virus.fq	/home/yh/GEMINI/bam_sam/old_healthy_male_euro_4_contigs_sorted.human63.bam	human62_batch_effect2	/home/yh/GEMINI/assembly/human63.contigs.nonrd.rn.fa	"euro,healthy,male"	7
young_healthy_female_asian_1	/home/yh/GEMINI/data/young_healthy_female_asian_1_onlyPE_nonhuman64virus.fq	/home/yh/GEMINI/bam_sam/young_healthy_female_asian_1_contigs_sorted.human63.bam	human62_batch_effect2	/home/yh/GEMINI/assembly/human63.contigs.nonrd.rn.fa	"asian,healthy,female"	8
young_healthy_female_asian_2	/home/yh/GEMINI/data/young_healthy_female_asian_2_onlyPE_nonhuman64virus.fq	/home/yh/GEMINI/bam_sam/young_healthy_female_asian_2_contigs_sorted.human63.bam	human62_batch_effect2	/home/yh/GEMINI/assembly/human63.contigs.nonrd.rn.fa	"asian,healthy,female"	8
young_healthy_female_asian_3	/home/yh/GEMINI/data/young_healthy_female_asian_3_onlyPE_nonhuman64virus.fq	/home/yh/GEMINI/bam_sam/young_healthy_female_asian_3_contigs_sorted.human63.bam	human62_batch_effect2	/home/yh/GEMINI/assembly/human63.contigs.nonrd.rn.fa	"asian,healthy,female"	1
young_healthy_female_asian_4	/home/yh/GEMINI/data/young_healthy_female_asian_4_onlyPE_nonhuman64virus.fq	/home/yh/GEMINI/bam_sam/young_healthy_female_asian_4_contigs_sorted.human63.bam	human62_batch_effect2	/home/yh/GEMINI/assembly/human63.contigs.nonrd.rn.fa	"asian,healthy,female"	8
young_healthy_male_asian_1	/home/yh/GEMINI/data/young_healthy_male_asian_1_onlyPE_nonhuman64virus.fq	/home/yh/GEMINI/bam_sam/young_healthy_male_asian_1_contigs_sorted.human63.bam	human62_batch_effect2	/home/yh/GEMINI/assembly/human63.contigs.nonrd.rn.fa	"asianhealthy,male"	8
young_healthy_male_asian_2	/home/yh/GEMINI/data/young_healthy_male_asian_2_onlyPE_nonhuman64virus.fq	/home/yh/GEMINI/bam_sam/young_healthy_male_asian_2_contigs_sorted.human63.bam	human62_batch_effect2	/home/yh/GEMINI/assembly/human63.contigs.nonrd.rn.fa	"asianhealthy,male"	1
young_healthy_male_asian_3	/home/yh/GEMINI/data/young_healthy_male_asian_3_onlyPE_nonhuman64virus.fq	/home/yh/GEMINI/bam_sam/young_healthy_male_asian_3_contigs_sorted.human63.bam	human62_batch_effect2	/home/yh/GEMINI/assembly/human63.contigs.nonrd.rn.fa	"asianhealthy,male"	8
young_healthy_male_asian_4	/home/yh/GEMINI/data/young_healthy_male_asian_4_onlyPE_nonhuman64virus.fq	/home/yh/GEMINI/bam_sam/young_healthy_male_asian_4_contigs_sorted.human63.bam	human62_batch_effect2	/home/yh/GEMINI/assembly/human63.contigs.nonrd.rn.fa	"asianhealthy,male"	8
young_healthy_male_euro_1	/home/yh/GEMINI/data/young_healthy_male_euro_1_onlyPE_nonhuman64virus.fq	/home/yh/GEMINI/bam_sam/young_healthy_male_euro_1_contigs_sorted.human63.bam	human62_batch_effect2	/home/yh/GEMINI/assembly/human63.contigs.nonrd.rn.fa	"euro,healthy,male"	5
young_healthy_male_euro_2	/home/yh/GEMINI/data/young_healthy_male_euro_2_onlyPE_nonhuman64virus.fq	/home/yh/GEMINI/bam_sam/young_healthy_male_euro_2_contigs_sorted.human63.bam	human62_batch_effect2	/home/yh/GEMINI/assembly/human63.contigs.nonrd.rn.fa	"euro,healthy,male"	5
young_healthy_male_euro_3	/home/yh/GEMINI/data/young_healthy_male_euro_3_onlyPE_nonhuman64virus.fq	/home/yh/GEMINI/bam_sam/young_healthy_male_euro_3_contigs_sorted.human63.bam	human62_batch_effect2	/home/yh/GEMINI/assembly/human63.contigs.nonrd.rn.fa	"euro,healthy,male"	4
young_healthy_male_euro_4	/home/yh/GEMINI/data/young_healthy_male_euro_4_onlyPE_nonhuman64virus.fq	/home/yh/GEMINI/bam_sam/young_healthy_male_euro_4_contigs_sorted.human63.bam	human62_batch_effect2	/home/yh/GEMINI/assembly/human63.contigs.nonrd.rn.fa	"euro,healthy,male"	5
young_healthy_female_euro_1	/home/yh/GEMINI/data/young_healthy_female_euro_1_onlyPE_nonhuman64virus.fq	/home/yh/GEMINI/bam_sam/young_healthy_female_euro_1_contigs_sorted.human63.bam	human62_batch_effect2	/home/yh/GEMINI/assembly/human63.contigs.nonrd.rn.fa	"euro,healthy,female"	5
young_healthy_female_euro_2	/home/yh/GEMINI/data/young_healthy_female_euro_2_onlyPE_nonhuman64virus.fq	/home/yh/GEMINI/bam_sam/young_healthy_female_euro_2_contigs_sorted.human63.bam	human62_batch_effect2	/home/yh/GEMINI/assembly/human63.contigs.nonrd.rn.fa	"euro,healthy,female"	4
young_healthy_female_euro_3	/home/yh/GEMINI/data/young_healthy_female_euro_3_onlyPE_nonhuman64virus.fq	/home/yh/GEMINI/bam_sam/young_healthy_female_euro_3_contigs_sorted.human63.bam	human62_batch_effect2	/home/yh/GEMINI/assembly/human63.contigs.nonrd.rn.fa	"euro,healthy,female"	4
